It took 3.820772171020508 seconds to calculate the mandelbrot graph
It took 0.09927606582641602 seconds to dump the image.
         1099361 function calls (1080072 primitive calls) in 4.411 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    296/1    0.001    0.000    4.411    4.411 {built-in method builtins.exec}
        1    0.000    0.000    4.411    4.411 mandelbrot0.py:1(<module>)
        1    3.821    3.821    3.821    3.821 mandelbrot0.py:6(simple_mandelbrot)
       36    0.001    0.000    0.689    0.019 __init__.py:1(<module>)
    355/9    0.001    0.000    0.499    0.055 <frozen importlib._bootstrap>:1022(_find_and_load)
    351/9    0.001    0.000    0.499    0.055 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    337/9    0.001    0.000    0.498    0.055 <frozen importlib._bootstrap>:664(_load_unlocked)
    288/9    0.000    0.000    0.498    0.055 <frozen importlib._bootstrap_external>:877(exec_module)
    510/9    0.000    0.000    0.496    0.055 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   446/20    0.000    0.000    0.449    0.022 {built-in method builtins.__import__}
   514/54    0.001    0.000    0.449    0.008 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.226    0.226 pyplot.py:1(<module>)
1122/1000    0.010    0.000    0.177    0.000 {built-in method builtins.__build_class__}
      101    0.000    0.000    0.129    0.001 artist.py:129(_update_set_signature_and_docstring)
      100    0.000    0.000    0.127    0.001 artist.py:105(__init_subclass__)
        1    0.000    0.000    0.113    0.113 figure.py:1(<module>)
  337/334    0.000    0.000    0.110    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    46/44    0.000    0.000    0.105    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
    46/44    0.103    0.002    0.105    0.002 {built-in method _imp.create_dynamic}
      114    0.000    0.000    0.103    0.001 artist.py:1804(kwdoc)
        1    0.000    0.000    0.092    0.092 colorbar.py:1(<module>)
      114    0.002    0.000    0.088    0.001 artist.py:1565(pprint_setters)
        1    0.000    0.000    0.081    0.081 pyplot.py:951(savefig)
     4131    0.005    0.000    0.072    0.000 artist.py:1437(get_valid_values)
      288    0.001    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.067    0.067 _subplots.py:1(<module>)
        1    0.000    0.000    0.067    0.067 _pickle.py:1(<module>)
        1    0.000    0.000    0.064    0.064 _axes.py:1(<module>)
    46/36    0.000    0.000    0.061    0.002 <frozen importlib._bootstrap_external>:1182(exec_module)
    46/36    0.025    0.001    0.061    0.002 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.060    0.060 figure.py:3151(savefig)
        1    0.000    0.000    0.060    0.060 backend_bases.py:2213(print_figure)
     16/6    0.000    0.000    0.060    0.010 deprecation.py:379(wrapper)
        1    0.000    0.000    0.060    0.060 backend_bases.py:2204(<lambda>)
        1    0.000    0.000    0.060    0.060 backend_agg.py:468(print_png)
        1    0.000    0.000    0.060    0.060 backend_agg.py:458(_print_pil)
        2    0.000    0.000    0.057    0.029 backend_agg.py:397(draw)
        2    0.000    0.000    0.057    0.028 artist.py:72(draw_wrapper)
    260/2    0.000    0.000    0.057    0.028 artist.py:33(draw_wrapper)
